,Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
0,233020,"Fournaise, Piton de la",22343,Confirmed Eruption,,,,,2020.0,,2.0,,10.0,,Historical Observations,,2020.0,,2.0,,16.0,,-21.244,55.708
1,345020,Rincon de la Vieja,22346,Confirmed Eruption,,,,,2020.0,,1.0,,31.0,,Historical Observations,,2020.0,,1.0,,31.0,,10.83,-85.324
2,353010,Fernandina,22347,Confirmed Eruption,,,,,2020.0,,1.0,,12.0,,Historical Observations,,2020.0,,1.0,,12.0,,-0.37,-91.55
3,273070,Taal,22344,Confirmed Eruption,,,,,2020.0,,1.0,,12.0,,Historical Observations,,2020.0,,1.0,,22.0,,14.002,120.993
4,282050,Kuchinoerabujima,22345,Confirmed Eruption,,,,,2020.0,,1.0,,11.0,,Historical Observations,>,2020.0,,2.0,,13.0,,30.443,130.217
5,241040,White Island,22338,Confirmed Eruption,1978/90 Crater Complex,2.0,,,2019.0,,12.0,,9.0,,Historical Observations,,2019.0,,12.0,,9.0,,-37.52,177.18
6,311060,Semisopochnoi,22341,Confirmed Eruption,,,,,2019.0,,12.0,,7.0,,Historical Observations,>,2020.0,,2.0,,16.0,,51.93,179.58
7,284096,Nishinoshima,22340,Confirmed Eruption,,1.0,,,2019.0,,12.0,,5.0,,Historical Observations,>,2020.0,,2.0,,15.0,,27.247,140.874
8,311240,Cleveland,22342,Uncertain Eruption,,,,,2019.0,,11.0,,7.0,,Historical Observations,,2019.0,,12.0,?,7.0,,52.825,-169.944
9,282060,Kikai,22339,Confirmed Eruption,,,,,2019.0,,11.0,,2.0,,Historical Observations,>,2020.0,,2.0,,11.0,,30.793,130.305
10,300260,Klyuchevskoy,22335,Confirmed Eruption,,,,,2019.0,,10.0,,24.0,,Historical Observations,>,2020.0,,2.0,,19.0,,56.056,160.642
11,243070,Lateiki,22334,Confirmed Eruption,,1.0,,,2019.0,,10.0,,13.0,,Historical Observations,,2019.0,,10.0,,22.0,,-19.18,-174.87
12,283110,Asamayama,22326,Confirmed Eruption,,,,,2019.0,,8.0,,7.0,,Historical Observations,,2019.0,,8.0,,25.0,,36.406,138.523
13,357090,Copahue,22336,Confirmed Eruption,,,,,2019.0,,8.0,,2.0,,Historical Observations,,2019.0,,11.0,?,12.0,,-37.856,-71.183
14,263090,Tangkuban Parahu,22325,Confirmed Eruption,,,,,2019.0,,7.0,,26.0,,Historical Observations,,2019.0,,9.0,,17.0,,-6.77,107.6
15,311360,Shishaldin,22330,Confirmed Eruption,Summit crater,,,,2019.0,,7.0,,23.0,,Historical Observations,,2020.0,,1.0,,28.0,,54.756,-163.97
16,351020,"Ruiz, Nevado del",22329,Confirmed Eruption,,,,,2019.0,,7.0,,23.0,,Historical Observations,,2019.0,,10.0,,4.0,,4.892,-75.324
17,311060,Semisopochnoi,22328,Confirmed Eruption,,,,,2019.0,,7.0,,16.0,,Historical Observations,,2019.0,,8.0,,24.0,,51.93,179.58
18,252120,Ulawun,22319,Confirmed Eruption,,,,,2019.0,,6.0,,26.0,,Historical Observations,,2019.0,,10.0,,5.0,,-5.05,151.33
19,354020,Ubinas,22324,Confirmed Eruption,,,,,2019.0,,6.0,,24.0,,Historical Observations,,2019.0,,12.0,,24.0,7.0,-16.355,-70.903
20,290250,Raikoke,22321,Confirmed Eruption,,,,,2019.0,,6.0,,22.0,,Historical Observations,,2019.0,,7.0,,1.0,,48.292,153.25
21,233020,"Fournaise, Piton de la",22318,Confirmed Eruption,,,,,2019.0,,6.0,,11.0,,Historical Observations,,2019.0,,10.0,,27.0,,-21.244,55.708
22,311120,Great Sitkin,22322,Confirmed Eruption,,,,,2019.0,,6.0,,1.0,,Historical Observations,,2019.0,,6.0,,7.0,,52.076,-176.13
23,290240,Sarychev Peak,22320,Confirmed Eruption,,2.0,,,2019.0,,5.0,,16.0,,Historical Observations,,2019.0,,10.0,,7.0,,48.092,153.2
24,341040,Colima,22323,Confirmed Eruption,,,,,2019.0,,5.0,,11.0,,Historical Observations,,2019.0,,7.0,,12.0,,19.514,-103.62
25,282110,Asosan,22317,Confirmed Eruption,,,,,2019.0,,4.0,,16.0,,Historical Observations,>,2020.0,,2.0,,17.0,,32.884,131.104
26,300260,Klyuchevskoy,22310,Confirmed Eruption,,,,,2019.0,,4.0,,9.0,,Historical Observations,,2019.0,,7.0,,2.0,,56.056,160.642
27,352090,Sangay,22312,Confirmed Eruption,,,,,2019.0,,3.0,,26.0,,Historical Observations,>,2020.0,,2.0,,19.0,,-2.005,-78.341
28,344020,San Cristobal,22311,Confirmed Eruption,,,,,2019.0,,3.0,,4.0,,Historical Observations,,2019.0,,3.0,,4.0,,12.702,-87.004
29,233020,"Fournaise, Piton de la",22307,Confirmed Eruption,,,,,2019.0,,2.0,,18.0,,Historical Observations,,2019.0,,3.0,,10.0,,-21.244,55.708
30,263310,Tengger Caldera,22306,Confirmed Eruption,Bromo,2.0,,,2019.0,,2.0,,18.0,,Historical Observations,,2019.0,,7.0,,28.0,,-7.942,112.95
31,300130,Karymsky,22309,Confirmed Eruption,,,,,2019.0,,2.0,,16.0,,Historical Observations,,2019.0,,9.0,,24.0,,54.049,159.443
32,345040,Poas,22303,Confirmed Eruption,,,,,2019.0,,2.0,,7.0,,Historical Observations,,2019.0,,9.0,,30.0,,10.2,-84.233
33,261080,Sinabung,22316,Confirmed Eruption,,,,?,2019.0,,2.0,,6.0,,Historical Observations,,2019.0,,6.0,,9.0,,3.17,98.392
34,256010,Tinakula,22313,Confirmed Eruption,,2.0,,<,2018.0,,12.0,,8.0,,Historical Observations,>,2020.0,,2.0,,18.0,,-10.386,165.804
35,267020,Karangetang,22294,Confirmed Eruption,,2.0,,,2018.0,,11.0,,25.0,,Historical Observations,>,2020.0,,2.0,,19.0,,2.781,125.407
36,357040,Planchon-Peteroa,22297,Confirmed Eruption,,1.0,,,2018.0,,11.0,,7.0,,Historical Observations,,2019.0,,5.0,,7.0,1.0,-35.223,-70.568
37,351020,"Ruiz, Nevado del",22298,Uncertain Eruption,,,,,2018.0,,10.0,,26.0,,Historical Observations,,2018.0,,10.0,,26.0,,4.892,-75.324
38,282050,Kuchinoerabujima,22296,Confirmed Eruption,,3.0,,,2018.0,,10.0,,21.0,,Historical Observations,,2019.0,,2.0,,3.0,,30.443,130.217
