Model,Origin,Model_Year,Weight,when,Acceleration,cyl4,Cylinders,Displacement,Horsepower,Mfg,MPG,org
"chevrolet chevelle malibu           ","USA    ",70,3504,"Early",12,"Other",8,307,130,"chevrolet    ",18,"USA    "
"buick skylark 320                   ","USA    ",70,3693,"Early",11.5,"Other",8,350,165,"buick        ",15,"USA    "
"plymouth satellite                  ","USA    ",70,3436,"Early",11,"Other",8,318,150,"plymouth     ",18,"USA    "
"amc rebel sst                       ","USA    ",70,3433,"Early",12,"Other",8,304,150,"amc          ",16,"USA    "
"ford torino                         ","USA    ",70,3449,"Early",10.5,"Other",8,302,140,"ford         ",17,"USA    "
"ford galaxie 500                    ","USA    ",70,4341,"Early",10,"Other",8,429,198,"ford         ",15,"USA    "
"chevrolet impala                    ","USA    ",70,4354,"Early",9,"Other",8,454,220,"chevrolet    ",14,"USA    "
"plymouth fury iii                   ","USA    ",70,4312,"Early",8.5,"Other",8,440,215,"plymouth     ",14,"USA    "
"pontiac catalina                    ","USA    ",70,4425,"Early",10,"Other",8,455,225,"pontiac      ",14,"USA    "
"amc ambassador dpl                  ","USA    ",70,3850,"Early",8.5,"Other",8,390,190,"amc          ",15,"USA    "
"citroen ds-21 pallas                ","France ",70,3090,"Early",17.5,"Four ",4,133,115,"citroen      ",NaN,"Europe "
"chevrolet chevelle concours (sw)    ","USA    ",70,4142,"Early",11.5,"Other",8,350,165,"chevrolet    ",NaN,"USA    "
"ford torino (sw)                    ","USA    ",70,4034,"Early",11,"Other",8,351,153,"ford         ",NaN,"USA    "
"plymouth satellite (sw)             ","USA    ",70,4166,"Early",10.5,"Other",8,383,175,"plymouth     ",NaN,"USA    "
"amc rebel sst (sw)                  ","USA    ",70,3850,"Early",11,"Other",8,360,175,"amc          ",NaN,"USA    "
"dodge challenger se                 ","USA    ",70,3563,"Early",10,"Other",8,383,170,"dodge        ",15,"USA    "
"plymouth 'cuda 340                  ","USA    ",70,3609,"Early",8,"Other",8,340,160,"plymouth     ",14,"USA    "
"ford mustang boss 302               ","USA    ",70,3353,"Early",8,"Other",8,302,140,"ford         ",NaN,"USA    "
"chevrolet monte carlo               ","USA    ",70,3761,"Early",9.5,"Other",8,400,150,"chevrolet    ",15,"USA    "
"buick estate wagon (sw)             ","USA    ",70,3086,"Early",10,"Other",8,455,225,"buick        ",14,"USA    "
"toyota corona mark ii               ","Japan  ",70,2372,"Early",15,"Four ",4,113,95,"toyota       ",24,"Japan  "
"plymouth duster                     ","USA    ",70,2833,"Early",15.5,"Other",6,198,95,"plymouth     ",22,"USA    "
"amc hornet                          ","USA    ",70,2774,"Early",15.5,"Other",6,199,97,"amc          ",18,"USA    "
"ford maverick                       ","USA    ",70,2587,"Early",16,"Other",6,200,85,"ford         ",21,"USA    "
"datsun pl510                        ","Japan  ",70,2130,"Early",14.5,"Four ",4,97,88,"datsun       ",27,"Japan  "
"volkswagen 1131 deluxe sedan        ","Germany",70,1835,"Early",20.5,"Four ",4,97,46,"volkswagen   ",26,"Europe "
"peugeot 504                         ","France ",70,2672,"Early",17.5,"Four ",4,110,87,"peugeot      ",25,"Europe "
"audi 100 ls                         ","Germany",70,2430,"Early",14.5,"Four ",4,107,90,"audi         ",24,"Europe "
"saab 99e                            ","Sweden ",70,2375,"Early",17.5,"Four ",4,104,95,"saab         ",25,"Europe "
"bmw 2002                            ","Germany",70,2234,"Early",12.5,"Four ",4,121,113,"bmw          ",26,"Europe "
"amc gremlin                         ","USA    ",70,2648,"Early",15,"Other",6,199,90,"amc          ",21,"USA    "
"ford f250                           ","USA    ",70,4615,"Early",14,"Other",8,360,215,"ford         ",10,"USA    "
"chevrolet c20                       ","USA    ",70,4376,"Early",15,"Other",8,307,200,"chevrolet    ",10,"USA    "
"dodge d200                          ","USA    ",70,4382,"Early",13.5,"Other",8,318,210,"dodge        ",11,"USA    "
"ih 1200d                            ","USA    ",70,4732,"Early",18.5,"Other",8,304,193,"ih           ",9,"USA    "
"datsun pl510                        ","Japan  ",71,2130,"Early",14.5,"Four ",4,97,88,"datsun       ",27,"Japan  "
"chevrolet vega 2300                 ","USA    ",71,2264,"Early",15.5,"Four ",4,140,90,"chevrolet    ",28,"USA    "
"toyota corona                       ","Japan  ",71,2228,"Early",14,"Four ",4,113,95,"toyota       ",25,"Japan  "
"ford pinto                          ","USA    ",71,2046,"Early",19,"Four ",4,98,NaN,"ford         ",25,"USA    "
"volkswagen super beetle 117         ","Germany",71,1978,"Early",20,"Four ",4,97,48,"volkswagen   ",NaN,"Europe "
"amc gremlin                         ","USA    ",71,2634,"Early",13,"Other",6,232,100,"amc          ",19,"USA    "
"plymouth satellite custom           ","USA    ",71,3439,"Early",15.5,"Other",6,225,105,"plymouth     ",16,"USA    "
"chevrolet chevelle malibu           ","USA    ",71,3329,"Early",15.5,"Other",6,250,100,"chevrolet    ",17,"USA    "
"ford torino 500                     ","USA    ",71,3302,"Early",15.5,"Other",6,250,88,"ford         ",19,"USA    "
"amc matador                         ","USA    ",71,3288,"Early",15.5,"Other",6,232,100,"amc          ",18,"USA    "
"chevrolet impala                    ","USA    ",71,4209,"Early",12,"Other",8,350,165,"chevrolet    ",14,"USA    "
"pontiac catalina brougham           ","USA    ",71,4464,"Early",11.5,"Other",8,400,175,"pontiac      ",14,"USA    "
"ford galaxie 500                    ","USA    ",71,4154,"Early",13.5,"Other",8,351,153,"ford         ",14,"USA    "
"plymouth fury iii                   ","USA    ",71,4096,"Early",13,"Other",8,318,150,"plymouth     ",14,"USA    "
"dodge monaco (sw)                   ","USA    ",71,4955,"Early",11.5,"Other",8,383,180,"dodge        ",12,"USA    "
"ford country squire (sw)            ","USA    ",71,4746,"Early",12,"Other",8,400,170,"ford         ",13,"USA    "
"pontiac safari (sw)                 ","USA    ",71,5140,"Early",12,"Other",8,400,175,"pontiac      ",13,"USA    "
"amc hornet sportabout (sw)          ","USA    ",71,2962,"Early",13.5,"Other",6,258,110,"amc          ",18,"USA    "
"chevrolet vega (sw)                 ","USA    ",71,2408,"Early",19,"Four ",4,140,72,"chevrolet    ",22,"USA    "
"pontiac firebird                    ","USA    ",71,3282,"Early",15,"Other",6,250,100,"pontiac      ",19,"USA    "
"ford mustang                        ","USA    ",71,3139,"Early",14.5,"Other",6,250,88,"ford         ",18,"USA    "
"mercury capri 2000                  ","USA    ",71,2220,"Early",14,"Four ",4,122,86,"mercury      ",23,"USA    "
"opel 1900                           ","Germany",71,2123,"Early",14,"Four ",4,116,90,"opel         ",28,"Europe "
